"Participant_Number","TC_factor","CondShort","mean","WidthGroup","ExpectedGroup"
85,"Medium","DW",0.461538461538462,"wide","low"
85,"Low","DW",0.0434782608695652,"wide","low"
86,"High","IW",0.661764705882353,"wide","high"
86,"High","Single",0.693877551020408,"controls","low"
86,"High","IN",0.764705882352941,"narrow","high"
86,"High","DW",0.634615384615385,"wide","low"
86,"High","Constant",0.685185185185185,"controls","high"
86,"High","DN",0.606060606060606,"narrow","low"
86,"Medium","IN",0.492957746478873,"narrow","high"
86,"Low","IN",0.408163265306122,"narrow","high"
86,"Medium","DW",0.444444444444444,"wide","low"
86,"Low","DW",0.25,"wide","low"
86,"Medium","DN",0.472222222222222,"narrow","low"
86,"Medium","Single",0.633333333333333,"controls","low"
86,"Medium","IW",0.392857142857143,"wide","high"
86,"Low","DN",0.457142857142857,"narrow","low"
86,"Low","Single",0.323529411764706,"controls","low"
86,"Low","IW",0.52,"wide","high"
86,"Medium","Constant",0.523076923076923,"controls","high"
86,"Low","Constant",0.425925925925926,"controls","high"
