Sub_Number,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,Distance,PeakVelocity
76,10434488.0,10434710.0,223.0,938.6,519.2,950.4,540.1,0.56,1082.0
76,10434889.0,10434902.0,14.0,961.2,549.2,936.6,526.4,0.72,68.0
76,10435189.0,10435205.0,17.0,941.5,530.7,981.5,553.3,0.92,88.0
76,10435380.0,10435395.0,16.0,972.6,551.8,958.0,518.6,0.86,84.0
76,10436586.0,10436771.0,186.0,991.3,544.3,950.3,539.5,0.76,1165.0
76,10437013.0,10437020.0,8.0,955.8,543.4,976.5,548.2,0.4,54.0
76,10437226.0,10437231.0,6.0,971.2,546.7,969.5,538.3,0.21,41.0
76,10438187.0,10438195.0,9.0,974.3,529.9,979.9,516.2,0.35,44.0
76,10438414.0,10438543.0,130.0,984.0,539.9,972.5,563.6,0.62,1070.0
76,10440019.0,10440201.0,183.0,973.3,550.0,963.3,522.5,0.7,1127.0
76,10440906.0,10440912.0,7.0,987.3,544.8,970.3,540.0,0.33,48.0
76,10441697.0,10441885.0,189.0,977.8,556.1,959.5,544.1,0.45,1086.0
76,10442088.0,10442101.0,14.0,966.5,537.0,1007.7,547.6,0.8,80.0
76,10442321.0,10442331.0,11.0,1007.1,560.3,978.4,547.1,0.62,64.0
76,10443457.0,10443722.0,266.0,991.1,565.2,983.9,532.0,0.83,1004.0
76,10444638.0,10444645.0,8.0,989.1,533.8,978.5,521.1,0.37,50.0
