Sub_Number,TrialStart,TrialEnd,Trial_Number,Condition,Target_Contrast
83,2993310,2994197,522,Constant,0.009999999999999993
83,2995160,2996959,523,FarHighWide_null,0.0630957344480193
83,2997011,2997797,524,ThreeLinesControl_null,0.05011872336272722
83,2998844,3000627,525,FarLowWide,0.039810717055349706
83,3000679,3001293,526,FarHighNarrow,0.009999999999999997
83,3002512,3004304,527,FarLowWide,0.050118723362727206
83,3004356,3006154,528,ThreeLinesControl,0.03162277660168378
83,3006205,3008004,529,ThreeLinesControl,0.039810717055349706
83,3008055,3008894,530,ThreeLinesControl,0.050118723362727206
83,3009909,3010830,531,FarHighNarrow_null,0.05011872336272721
83,3011760,3012654,532,Constant,0.012589254117941664
83,3013612,3014446,533,FarLowWide,0.0630957344480193
83,3015461,3016318,534,FarHighWide,0.009999999999999992
83,3017313,3018311,535,FarLowWide,0.050118723362727206
83,3019162,3019982,536,FarLowNarrow,0.025118864315095794
83,3021012,3022095,537,FarHighWide,0.007943282347242809
83,3022862,3023639,538,FarHighNarrow,0.007943282347242812
83,3024713,3025503,539,FarHighWide,0.009999999999999993
83,3026564,3027335,540,FarHighNarrow_null,0.03981071705534971
83,3028414,3029415,541,FarHighNarrow,0.009999999999999997
83,3030247,3032029,542,FarLowWide,0.039810717055349706
83,3032081,3032736,543,Constant,0.009999999999999993
83,3033924,3034456,544,FarHighNarrow_null,0.031622776601683784
83,3035775,3036392,545,ThreeLinesControl,0.039810717055349706
83,3037626,3038488,546,ThreeLinesControl,0.050118723362727206
83,3039485,3040584,547,FarHighNarrow,0.012589254117941668
83,3041345,3042064,548,Constant_null,0.031622776601683784
83,3043195,3044193,549,Constant,0.012589254117941664
83,3045049,3046032,550,FarHighNarrow,0.01584893192461113
83,3046900,3047841,551,FarLowNarrow,0.031622776601683784
83,3048749,3049601,552,FarLowNarrow,0.02511886431509579
83,3050598,3052397,553,FarLowWide,0.050118723362727206
83,3052450,3054247,554,FarLowNarrow,0.01995262314968879
83,3054299,3055273,555,FarHighNarrow,0.019952623149688792
83,3056151,3057947,556,FarHighNarrow,0.01584893192461113
83,3057999,3059780,557,FarHighWide,0.012589254117941664
83,3059833,3060906,558,FarHighNarrow,0.019952623149688792
83,3061667,3063447,559,FarHighNarrow,0.01584893192461113
83,3063499,3065293,560,FarHighNarrow,0.019952623149688792
83,3065350,3066234,561,ThreeLinesControl_null,0.03981071705534971
83,3067194,3067898,562,FarHighNarrow,0.025118864315095798
83,3069047,3070846,563,ThreeLinesControl,0.0630957344480193
83,3070898,3071795,564,Constant_null,0.03981071705534971
83,3072747,3074549,565,FarLowWide,0.0630957344480193
83,3074601,3075603,566,FarHighWide,0.015848931924611127
83,3076451,3078249,567,FarHighWide,0.012589254117941666
83,3078304,3080100,568,Constant_null,0.031622776601683784
83,3080153,3081155,569,FarLowNarrow,0.025118864315095794
83,3082002,3082788,570,ThreeLinesControl_null,0.031622776601683784
83,3083851,3084788,571,FarHighNarrow,0.03162277660168379
83,3085701,3087500,572,Constant,0.009999999999999993
83,3087552,3088364,573,FarLowWide_null,0.031622776601683784
83,3089386,3090284,574,FarHighNarrow,0.025118864315095798
83,3091219,3092180,575,FarHighNarrow_null,0.02511886431509579
83,3093053,3094149,576,FarLowNarrow,0.031622776601683784
83,3094896,3095901,577,Constant,0.012589254117941664
83,3096746,3097573,578,FarHighNarrow_null,0.01995262314968879
83,3098602,3099445,579,FarLowNarrow,0.02511886431509579
83,3100450,3101397,580,FarHighNarrow,0.03162277660168379
83,3102300,3103397,581,ThreeLinesControl,0.07943282347242812
83,3104155,3105197,582,ThreeLinesControl,0.09999999999999998
83,3106003,3106821,583,FarHighNarrow,0.025118864315095798
83,3107854,3108710,584,FarHighNarrow,0.019952623149688792
83,3109704,3110454,585,FarHighNarrow,0.01584893192461113
83,3111554,3112358,586,Constant,0.015848931924611127
83,3113405,3114126,587,FarLowWide,0.07943282347242812
83,3115253,3115950,588,ThreeLinesControl,0.07943282347242812
83,3117104,3118094,589,FarHighNarrow,0.012589254117941668
83,3118937,3119655,590,FarHighNarrow,0.009999999999999997
83,3120773,3121935,591,FarHighWide,0.015848931924611127
83,3122604,3123799,592,Constant,0.012589254117941666
83,3124451,3125495,593,ThreeLinesControl,0.0630957344480193
