0.9304 	WARNING 	Import Error: dlopen(/Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/PsychHID.abi3.so, 2): Symbol not found: ____chkstk_darwin
  Referenced from: /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib (which was built for Mac OS X 11.0)
  Expected in: /usr/lib/libSystem.B.dylib
 in /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib. Using event module for keyboard component.
173.3335 	DATA 	Keypress: right
173.5782 	DATA 	Trial 47 begins: FarHighNarrow | 0.02511886431509579
173.8146 	DATA 	Stim Appears
174.0313 	DATA 	Stim Disappears
175.2295 	DATA 	Keypress: right
175.3316 	DATA 	Trial 48 begins: Constant | 0.05011872336272722
175.5639 	DATA 	Stim Appears
175.7808 	DATA 	Stim Disappears
176.4055 	DATA 	Keypress: right
177.0811 	DATA 	Trial 49 begins: FarHighWide | 0.05011872336272722
177.3142 	DATA 	Stim Appears
177.5311 	DATA 	Stim Disappears
178.2455 	DATA 	Keypress: right
178.8312 	DATA 	Trial 50 begins: FarLowWide | 0.01995262314968879
179.0675 	DATA 	Stim Appears
179.2833 	DATA 	Stim Disappears
179.9094 	DATA 	Keypress: left
180.5835 	DATA 	Trial 51 begins: FarHighWide | 0.03981071705534971
180.8167 	DATA 	Stim Appears
181.0340 	DATA 	Stim Disappears
181.7014 	DATA 	Keypress: right
182.3342 	DATA 	Trial 52 begins: FarLowNarrow | 0.01995262314968879
182.5666 	DATA 	Stim Appears
182.7835 	DATA 	Stim Disappears
183.7415 	DATA 	Keypress: right
184.0838 	DATA 	Trial 53 begins: FarLowNarrow | 0.015848931924611127
184.3186 	DATA 	Stim Appears
184.5354 	DATA 	Stim Disappears
185.5335 	DATA 	Keypress: right
185.8357 	DATA 	Trial 54 begins: FarLowNarrow_null | 0.1
186.0688 	DATA 	Stim Appears
186.2858 	DATA 	Stim Disappears
187.1095 	DATA 	Keypress: left
187.5860 	DATA 	Trial 55 begins: FarHighWide | 0.03981071705534971
187.8192 	DATA 	Stim Appears
188.0351 	DATA 	Stim Disappears
188.7255 	DATA 	Keypress: right
189.3353 	DATA 	Trial 56 begins: FarLowWide | 0.025118864315095794
189.5686 	DATA 	Stim Appears
189.7851 	DATA 	Stim Disappears
190.7494 	DATA 	Keypress: right
191.0853 	DATA 	Trial 57 begins: FarLowWide | 0.025118864315095794
191.3186 	DATA 	Stim Appears
191.5356 	DATA 	Stim Disappears
192.2615 	DATA 	Keypress: right
192.8359 	DATA 	Trial 58 begins: FarHighWide | 0.03981071705534971
193.0690 	DATA 	Stim Appears
193.2860 	DATA 	Stim Disappears
193.7735 	DATA 	Keypress: right
194.5864 	DATA 	Trial 59 begins: FarHighWide | 0.031622776601683784
194.8190 	DATA 	Stim Appears
195.0359 	DATA 	Stim Disappears
195.4615 	DATA 	Keypress: right
210.0216 	DATA 	Keypress: right
213.0362 	DATA 	Trial 60 begins: Constant | 0.03981071705534971
213.2678 	DATA 	Stim Appears
213.4838 	DATA 	Stim Disappears
213.9256 	DATA 	Keypress: left
214.7840 	DATA 	Trial 61 begins: FarLowNarrow | 0.012589254117941666
215.0186 	DATA 	Stim Appears
215.2354 	DATA 	Stim Disappears
215.7014 	DATA 	Keypress: left
216.5357 	DATA 	Trial 62 begins: FarLowNarrow | 0.015848931924611127
216.7692 	DATA 	Stim Appears
216.9850 	DATA 	Stim Disappears
217.3656 	DATA 	Keypress: left
218.2853 	DATA 	Trial 63 begins: FarHighNarrow | 0.01995262314968879
218.5184 	DATA 	Stim Appears
218.7353 	DATA 	Stim Disappears
219.4455 	DATA 	Keypress: right
220.0355 	DATA 	Trial 64 begins: FarHighNarrow | 0.015848931924611127
220.2687 	DATA 	Stim Appears
220.4856 	DATA 	Stim Disappears
221.2135 	DATA 	Keypress: left
221.7858 	DATA 	Trial 65 begins: FarLowNarrow | 0.01995262314968879
222.0184 	DATA 	Stim Appears
222.2352 	DATA 	Stim Disappears
222.9415 	DATA 	Keypress: right
223.5355 	DATA 	Trial 66 begins: Constant_null | 0.07943282347242815
223.7687 	DATA 	Stim Appears
223.9757 	DATA 	Stim Disappears
224.5736 	DATA 	Keypress: left
225.2759 	DATA 	Trial 67 begins: FarLowWide | 0.025118864315095794
225.5023 	DATA 	Stim Appears
225.7193 	DATA 	Stim Disappears
226.3495 	DATA 	Keypress: right
227.0195 	DATA 	Trial 68 begins: FarLowNarrow | 0.01995262314968879
227.2522 	DATA 	Stim Appears
227.4691 	DATA 	Stim Disappears
228.0054 	DATA 	Keypress: right
228.7693 	DATA 	Trial 69 begins: FarLowWide | 0.01995262314968879
228.9959 	DATA 	Stim Appears
229.2117 	DATA 	Stim Disappears
229.5975 	DATA 	Keypress: left
230.5119 	DATA 	Trial 70 begins: FarHighNarrow | 0.01995262314968879
230.7447 	DATA 	Stim Appears
230.9518 	DATA 	Stim Disappears
231.6295 	DATA 	Keypress: right
232.2520 	DATA 	Trial 71 begins: Constant | 0.05011872336272721
232.4783 	DATA 	Stim Appears
232.6853 	DATA 	Stim Disappears
233.1735 	DATA 	Keypress: right
233.9855 	DATA 	Trial 72 begins: FarLowWide | 0.025118864315095794
234.2144 	DATA 	Stim Appears
234.4313 	DATA 	Stim Disappears
235.0935 	DATA 	Keypress: right
235.7316 	DATA 	Trial 73 begins: Constant | 0.05011872336272721
235.9652 	DATA 	Stim Appears
236.1812 	DATA 	Stim Disappears
236.7014 	DATA 	Keypress: right
237.4814 	DATA 	Trial 74 begins: FarHighWide | 0.031622776601683784
237.7143 	DATA 	Stim Appears
237.9310 	DATA 	Stim Disappears
238.4296 	DATA 	Keypress: right
239.2313 	DATA 	Trial 75 begins: FarHighNarrow | 0.01995262314968879
239.4677 	DATA 	Stim Appears
239.6846 	DATA 	Stim Disappears
240.2055 	DATA 	Keypress: left
240.9849 	DATA 	Trial 76 begins: FarHighNarrow | 0.025118864315095794
241.2181 	DATA 	Stim Appears
241.4343 	DATA 	Stim Disappears
241.9894 	DATA 	Keypress: right
242.7346 	DATA 	Trial 77 begins: FarLowWide_null | 0.07943282347242815
242.9676 	DATA 	Stim Appears
243.1846 	DATA 	Stim Disappears
243.7255 	DATA 	Keypress: left
244.4848 	DATA 	Trial 78 begins: Constant | 0.05011872336272721
244.7191 	DATA 	Stim Appears
244.9360 	DATA 	Stim Disappears
245.4935 	DATA 	Keypress: right
246.2363 	DATA 	Trial 79 begins: FarHighWide | 0.031622776601683784
246.4685 	DATA 	Stim Appears
246.6855 	DATA 	Stim Disappears
247.1495 	DATA 	Keypress: right
247.9857 	DATA 	Trial 80 begins: Constant_null | 0.06309573444801932
248.2192 	DATA 	Stim Appears
248.4360 	DATA 	Stim Disappears
248.9655 	DATA 	Keypress: left
249.7363 	DATA 	Trial 81 begins: FarHighNarrow_null | 0.07943282347242815
249.9684 	DATA 	Stim Appears
250.1858 	DATA 	Stim Disappears
250.6775 	DATA 	Keypress: left
251.4861 	DATA 	Trial 82 begins: FarHighWide_null | 0.07943282347242815
251.7192 	DATA 	Stim Appears
251.9352 	DATA 	Stim Disappears
252.4375 	DATA 	Keypress: left
253.2354 	DATA 	Trial 83 begins: FarHighNarrow | 0.025118864315095794
253.4688 	DATA 	Stim Appears
253.6757 	DATA 	Stim Disappears
254.6854 	DATA 	Keypress: left
254.9760 	DATA 	Trial 84 begins: FarHighWide | 0.02511886431509579
255.2091 	DATA 	Stim Appears
255.4184 	DATA 	Stim Disappears
256.0215 	DATA 	Keypress: left
256.7186 	DATA 	Trial 85 begins: FarHighWide_null | 0.06309573444801932
256.9527 	DATA 	Stim Appears
257.1686 	DATA 	Stim Disappears
257.9815 	DATA 	Keypress: left
258.4688 	DATA 	Trial 86 begins: FarHighNarrow | 0.031622776601683784
258.6956 	DATA 	Stim Appears
258.9124 	DATA 	Stim Disappears
259.5255 	DATA 	Keypress: left
260.2126 	DATA 	Trial 87 begins: FarLowWide | 0.025118864315095794
260.4450 	DATA 	Stim Appears
260.6520 	DATA 	Stim Disappears
261.6695 	DATA 	Keypress: right
261.9522 	DATA 	Trial 88 begins: FarLowWide | 0.025118864315095794
262.1787 	DATA 	Stim Appears
262.3956 	DATA 	Stim Disappears
263.2455 	DATA 	Keypress: right
263.6958 	DATA 	Trial 89 begins: FarLowWide | 0.01995262314968879
263.9312 	DATA 	Stim Appears
264.1479 	DATA 	Stim Disappears
265.4483 	DATA 	No keypress (maxWait exceeded)
265.4484 	DATA 	Trial 90 begins: Constant | 0.03981071705534971
265.6819 	DATA 	Stim Appears
